document,topic,gamma
text65,8,0.0798611111111111
text65,9,0.24537037037037038
text65,10,0.03009259259259259
text66,1,0.08148148148148149
text66,2,0.04
text66,3,0.12296296296296297
text66,4,0.3466666666666667
text66,5,0.11703703703703704
text66,6,0.09333333333333334
text66,7,0.014814814814814815
text66,8,0.08444444444444445
text66,9,0.04148148148148148
text66,10,0.057777777777777775
text67,1,0.04
text67,2,0.0512
text67,3,0.1824
text67,4,0.0656
text67,5,0.0528
text67,6,0.0512
text67,7,0.0496
text67,8,0.3312
text67,9,0.12
text67,10,0.056
text68,1,0.05532503457814661
text68,2,0.017980636237897647
text68,3,0.012448132780082987
text68,4,0.058091286307053944
text68,5,0.08575380359612725
text68,6,0.019363762102351315
text68,7,0.0636237897648686
text68,8,0.06915629322268327
text68,9,0.47441217150760717
text68,10,0.14384508990318118
text69,1,0.03502626970227671
text69,2,0.09281961471103327
text69,3,0.08581436077057793
text69,4,0.12784588441331
text69,5,0.04903677758318739
text69,6,0.09106830122591944
text69,7,0.03502626970227671
text69,8,0.04553415061295972
text69,9,0.1436077057793345
text69,10,0.29422066549912435
text70,1,0.042335766423357665
text70,2,0.030656934306569343
text70,3,0.16058394160583941
text70,4,0.2569343065693431
text70,5,0.07591240875912408
text70,6,0.052554744525547446
text70,7,0.10072992700729927
text70,8,0.061313868613138686
text70,9,0.09197080291970802
text70,10,0.12700729927007298
text71,1,0.015345268542199489
text71,2,0.014066496163682864
text71,3,0.1815856777493606
text71,4,0.309462915601023
text71,5,0.19053708439897699
text71,6,0.04092071611253197
text71,7,0.008951406649616368
text71,8,0.13810741687979539
text71,9,0.0639386189258312
text71,10,0.0370843989769821
text72,1,0.020146520146520148
text72,2,0.05128205128205128
text72,3,0.031135531135531136
text72,4,0.18681318681318682
text72,5,0.06776556776556776
text72,6,0.027472527472527472
text72,7,0.06043956043956044
text72,8,0.009157509157509158
text72,9,0.4157509157509158
text72,10,0.13003663003663005
text73,1,0.49326599326599324
text73,2,0.05723905723905724
text73,3,0.09427609427609428
text73,4,0.030303030303030304
text73,5,0.018518518518518517
text73,6,0.0707070707070707
text73,7,0.03367003367003367
text73,8,0.05218855218855219
text73,9,0.020202020202020204
text73,10,0.12962962962962962
text74,1,0.025089605734767026
text74,2,0.05734767025089606
text74,3,0.04838709677419355
text74,4,0.014336917562724014
text74,5,0.026881720430107527
text74,6,0.6487455197132617
text74,7,0.05555555555555555
text74,8,0.03763440860215054
text74,9,0.012544802867383513
text74,10,0.07347670250896057
text75,1,0.038880248833592534
text75,2,0.029548989113530325
text75,3,0.041990668740279936
text75,4,0.5132192846034215
text75,5,0.03110419906687403
text75,6,0.07465007776049767
text75,7,0.03421461897356143
text75,8,0.01866251944012442
text75,9,0.09797822706065319
text75,10,0.11975116640746501
text76,1,0.020754716981132074
text76,2,0.024528301886792454
text76,3,0.15471698113207547
text76,4,0.35094339622641507
text76,5,0.062264150943396226
text76,6,0.026415094339622643
text76,7,0.035849056603773584
text76,8,0.06415094339622641
text76,9,0.08113207547169811
text76,10,0.1792452830188679
text77,1,0.07417218543046358
text77,2,0.07549668874172186
text77,3,0.09801324503311258
text77,4,0.05033112582781457
text77,5,0.02913907284768212
text77,6,0.10066225165562914
text77,7,0.025165562913907286
text77,8,0.49403973509933774
text77,9,0.025165562913907286
text77,10,0.02781456953642384
text78,1,0.036065573770491806
text78,2,0.02841530054644809
text78,3,0.49508196721311476
text78,4,0.03169398907103825
text78,5,0.02185792349726776
text78,6,0.1366120218579235
text78,7,0.034972677595628415
text78,8,0.07759562841530054
text78,9,0.05901639344262295
text78,10,0.07868852459016394
text79,1,0.03420523138832998
text79,2,0.0482897384305835
text79,3,0.3702213279678068
text79,4,0.022132796780684104
text79,5,0.2575452716297787
text79,6,0.04024144869215292
text79,7,0.030181086519114688
text79,8,0.05030181086519115
text79,9,0.1006036217303823
text79,10,0.04627766599597585
text80,1,0.02004008016032064
text80,2,0.018036072144288578
text80,3,0.09018036072144289
text80,4,0.05410821643286573
text80,5,0.03807615230460922
text80,6,0.5350701402805611
text80,7,0.050100200400801605
text80,8,0.036072144288577156
text80,9,0.06212424849699399
text80,10,0.09619238476953908
text81,1,0.21390374331550802
text81,2,0.10160427807486631
text81,3,0.15775401069518716
text81,4,0.045454545454545456
text81,5,0.08288770053475936
text81,6,0.053475935828877004
text81,7,0.12566844919786097
text81,8,0.08288770053475936
text81,9,0.10427807486631016
text81,10,0.03208556149732621
text82,1,0.0749185667752443
text82,2,0.06188925081433225
text82,3,0.04234527687296417
text82,4,0.10097719869706841
text82,5,0.26384364820846906
text82,6,0.03908794788273615
text82,7,0.06188925081433225
text82,8,0.048859934853420196
text82,9,0.2671009771986971
text82,10,0.03908794788273615
text83,1,0.04435483870967742
text83,2,0.10685483870967742
text83,3,0.0625
text83,4,0.0907258064516129
text83,5,0.05241935483870968
text83,6,0.14112903225806453
text83,7,0.06653225806451613
text83,8,0.028225806451612902
text83,9,0.15120967741935484
text83,10,0.2560483870967742
text84,1,0.08273381294964029
text84,2,0.050359712230215826
text84,3,0.16906474820143885
text84,4,0.08633093525179857
text84,5,0.06115107913669065
text84,6,0.05755395683453238
text84,7,0.07553956834532374
text84,8,0.08992805755395683
text84,9,0.2733812949640288
text84,10,0.0539568345323741
text85,1,0.05291005291005291
text85,2,0.04497354497354497
text85,3,0.21693121693121692
text85,4,0.03968253968253968
text85,5,0.041005291005291
text85,6,0.03042328042328042
text85,7,0.03439153439153439
text85,8,0.1111111111111111
text85,9,0.3994708994708995
text85,10,0.0291005291005291
text86,1,0.1254125412541254
text86,2,0.19141914191419143
text86,3,0.07590759075907591
text86,4,0.0297029702970297
